student_id,application_id,app_term_id,app_complete_dt,decision,decision_dt,deposit_flag
10000000,APP10000000,2024FA,2024-06-29,Admit,2024-07-28,1
10000001,APP10000001,2025SP,2024-01-10,Admit,2024-02-09,0
10000002,APP10000002,2025SP,2024-06-11,Admit,2024-07-03,0
10000003,APP10000003,2024FA,2024-05-04,Admit,2024-05-14,1
10000004,APP10000004,2025SP,2024-06-29,Admit,2024-07-12,1
10000005,APP10000005,2025SP,2024-06-04,Admit,2024-06-26,1
10000006,APP10000006,2024FA,2024-02-07,Admit,2024-02-15,1
10000007,APP10000007,2025SP,2024-05-14,Admit,2024-05-19,1
10000008,APP10000008,2024FA,2024-04-10,Admit,2024-04-28,1
10000009,APP10000009,2025SP,2024-01-29,Admit,2024-02-07,1
10000010,APP10000010,2024FA,2024-03-22,Admit,2024-04-09,1
10000011,APP10000011,2025SP,2024-01-12,Admit,2024-01-23,0
10000012,APP10000012,2025SP,2024-04-20,Admit,2024-05-06,1
10000013,APP10000013,2024FA,2024-02-06,Admit,2024-02-28,1
10000014,APP10000014,2025SP,2024-02-20,Admit,2024-03-05,1
10000015,APP10000015,2024FA,2024-06-28,Admit,2024-07-04,1
10000016,APP10000016,2025SP,2024-05-30,Admit,2024-06-12,1
10000017,APP10000017,2025SP,2024-05-07,Admit,2024-06-03,1
10000018,APP10000018,2025SP,2024-02-10,Admit,2024-03-05,1
10000019,APP10000019,2024FA,2024-01-13,Admit,2024-02-01,0
10000020,APP10000020,2024FA,2024-05-27,Admit,2024-06-03,0
10000021,APP10000021,2025SP,2024-05-31,Admit,2024-06-13,1
10000022,APP10000022,2024FA,2024-03-13,Admit,2024-04-04,1
10000023,APP10000023,2024FA,2024-06-27,Admit,2024-07-24,1
10000024,APP10000024,2025SP,2024-01-31,Admit,2024-02-09,1
10000025,APP10000025,2025SP,2024-06-04,Admit,2024-06-10,1
10000026,APP10000026,2025SP,2024-03-20,Admit,2024-04-12,1
10000027,APP10000027,2024FA,2024-02-11,Admit,2024-03-07,1
10000028,APP10000028,2025SP,2024-04-27,Admit,2024-05-14,1
10000029,APP10000029,2025SP,2024-05-14,Admit,2024-05-27,1
10000030,APP10000030,2024FA,2024-03-21,Admit,2024-04-03,0
10000031,APP10000031,2025SP,2024-02-29,Admit,2024-03-27,1
10000032,APP10000032,2024FA,2024-06-14,Admit,2024-07-03,1
10000033,APP10000033,2024FA,2024-05-08,Admit,2024-05-15,1
10000034,APP10000034,2024FA,2024-06-29,Admit,2024-07-15,1
10000035,APP10000035,2024FA,2024-01-11,Admit,2024-01-21,1
10000036,APP10000036,2024FA,2024-04-11,Admit,2024-04-18,1
10000037,APP10000037,2025SP,2024-07-01,Admit,2024-07-15,1
10000038,APP10000038,2025SP,2024-04-29,Admit,2024-05-20,1
10000039,APP10000039,2025SP,2024-01-22,Admit,2024-02-15,0
10000040,APP10000040,2025SP,2024-03-29,Admit,2024-04-23,1
10000041,APP10000041,2025SP,2024-04-28,Admit,2024-05-08,0
10000042,APP10000042,2025SP,2024-01-14,Admit,2024-02-12,1
10000043,APP10000043,2024FA,2024-06-05,Admit,2024-06-17,0
10000044,APP10000044,2025SP,2024-05-10,Admit,2024-06-08,1
10000045,APP10000045,2025SP,2024-05-14,Admit,2024-06-11,1
10000046,APP10000046,2024FA,2024-02-07,Admit,2024-02-19,1
10000047,APP10000047,2025SP,2024-05-20,Admit,2024-05-30,0
10000048,APP10000048,2025SP,2024-06-08,Admit,2024-06-26,1
10000049,APP10000049,2024FA,2024-01-02,Admit,2024-01-09,1
10000050,APP10000050,2025SP,2024-01-03,Admit,2024-01-30,1
10000051,APP10000051,2025SP,2024-05-10,Admit,2024-05-17,1
10000052,APP10000052,2024FA,2024-01-14,Admit,2024-02-10,1
10000053,APP10000053,2025SP,2024-07-13,Admit,2024-07-27,0
10000054,APP10000054,2025SP,2024-05-26,Admit,2024-05-31,1
10000055,APP10000055,2024FA,2024-02-08,Admit,2024-03-03,1
10000056,APP10000056,2025SP,2024-03-18,Admit,2024-03-27,1
10000057,APP10000057,2024FA,2024-03-21,Admit,2024-04-19,1
10000058,APP10000058,2025SP,2024-05-06,Admit,2024-05-19,1
10000059,APP10000059,2024FA,2024-02-11,Admit,2024-03-03,1
10000060,APP10000060,2025SP,2024-06-18,Admit,2024-07-12,0
10000061,APP10000061,2025SP,2024-01-09,Admit,2024-01-16,0
10000062,APP10000062,2024FA,2024-06-12,Admit,2024-06-26,1
10000063,APP10000063,2024FA,2024-04-20,Admit,2024-04-27,1
10000064,APP10000064,2024FA,2024-05-14,Admit,2024-05-22,1
10000065,APP10000065,2025SP,2024-05-31,Admit,2024-06-16,0
10000066,APP10000066,2025SP,2024-01-12,Admit,2024-02-05,1
10000067,APP10000067,2024FA,2024-03-16,Admit,2024-04-15,0
10000068,APP10000068,2025SP,2024-01-26,Admit,2024-02-09,0
10000069,APP10000069,2024FA,2024-01-08,Admit,2024-01-30,1
10000070,APP10000070,2024FA,2024-05-21,Admit,2024-06-08,1
10000071,APP10000071,2024FA,2024-05-12,Admit,2024-06-02,1
10000072,APP10000072,2024FA,2024-05-06,Admit,2024-06-02,1
10000073,APP10000073,2024FA,2024-02-03,Admit,2024-02-22,1
10000074,APP10000074,2024FA,2024-05-25,Admit,2024-06-05,1
10000075,APP10000075,2024FA,2024-03-25,Admit,2024-04-13,1
10000076,APP10000076,2025SP,2024-03-11,Admit,2024-03-23,0
10000077,APP10000077,2025SP,2024-06-25,Admit,2024-07-13,1
10000078,APP10000078,2025SP,2024-07-07,Admit,2024-07-16,1
10000079,APP10000079,2024FA,2024-05-04,Admit,2024-05-21,1
10000080,APP10000080,2024FA,2024-05-24,Admit,2024-05-31,0
10000081,APP10000081,2024FA,2024-03-23,Admit,2024-03-28,1
10000082,APP10000082,2024FA,2024-04-04,Admit,2024-04-15,1
10000083,APP10000083,2025SP,2024-05-17,Admit,2024-06-04,1
10000084,APP10000084,2024FA,2024-06-01,Admit,2024-06-24,1
10000085,APP10000085,2024FA,2024-03-20,Admit,2024-04-14,0
10000086,APP10000086,2024FA,2024-07-19,Admit,2024-08-02,1
10000087,APP10000087,2024FA,2024-06-01,Admit,2024-06-26,0
10000088,APP10000088,2025SP,2024-06-23,Admit,2024-06-28,0
10000089,APP10000089,2025SP,2024-01-05,Admit,2024-01-19,1
