award_id,student_id,term_id,aid_type,amount,disbursed_dt
AWD0000001,10000000,2025FA,Scholarship,2837,2025-08-20
AWD0000002,10000000,2025SP,Grant,2857,2025-01-10
AWD0000003,10000003,2025SP,Grant,1356,2025-01-10
AWD0000004,10000004,2025FA,Loan,2886,2025-08-20
AWD0000005,10000005,2025FA,Loan,3444,2025-08-20
AWD0000006,10000006,2025FA,Grant,1177,2025-08-20
AWD0000007,10000008,2025FA,Grant,1361,2025-08-20
AWD0000008,10000009,2025FA,Scholarship,2026,2025-08-20
AWD0000009,10000009,2025SP,Grant,2652,2025-01-10
AWD0000010,10000010,2025FA,Loan,634,2025-08-20
AWD0000011,10000010,2025SP,Grant,2747,2025-01-10
AWD0000012,10000013,2025FA,Scholarship,2714,2025-08-20
AWD0000013,10000014,2025FA,Loan,1717,2025-08-20
AWD0000014,10000016,2025FA,Scholarship,1865,2025-08-20
AWD0000015,10000016,2025SP,Scholarship,2551,2025-01-10
AWD0000016,10000017,2025SP,Grant,3237,2025-01-10
AWD0000017,10000019,2025FA,Scholarship,2993,2025-08-20
AWD0000018,10000019,2025SP,Grant,1823,2025-01-10
AWD0000019,10000020,2025SP,Loan,3315,2025-01-10
AWD0000020,10000022,2025SP,Scholarship,593,2025-01-10
AWD0000021,10000023,2025SP,Grant,915,2025-01-10
AWD0000022,10000026,2025FA,Grant,1654,2025-08-20
AWD0000023,10000027,2025SP,Scholarship,2393,2025-01-10
AWD0000024,10000031,2025FA,Loan,507,2025-08-20
AWD0000025,10000032,2025FA,Loan,1606,2025-08-20
AWD0000026,10000033,2025FA,Scholarship,1772,2025-08-20
AWD0000027,10000034,2025FA,Loan,1086,2025-08-20
AWD0000028,10000035,2025FA,Scholarship,2485,2025-08-20
AWD0000029,10000036,2025FA,Grant,2596,2025-08-20
AWD0000030,10000036,2025SP,Scholarship,3202,2025-01-10
AWD0000031,10000037,2025FA,Scholarship,2451,2025-08-20
AWD0000032,10000039,2025FA,Grant,2164,2025-08-20
AWD0000033,10000040,2025FA,Grant,539,2025-08-20
AWD0000034,10000041,2025FA,Grant,2623,2025-08-20
AWD0000035,10000042,2025FA,Scholarship,1172,2025-08-20
AWD0000036,10000044,2025FA,Grant,1344,2025-08-20
AWD0000037,10000045,2025FA,Grant,1514,2025-08-20
AWD0000038,10000049,2025FA,Loan,2866,2025-08-20
AWD0000039,10000049,2025SP,Grant,2078,2025-01-10
AWD0000040,10000050,2025FA,Loan,1747,2025-08-20
AWD0000041,10000051,2025SP,Grant,3371,2025-01-10
AWD0000042,10000053,2025FA,Loan,1501,2025-08-20
AWD0000043,10000053,2025SP,Grant,3231,2025-01-10
AWD0000044,10000054,2025FA,Loan,2518,2025-08-20
AWD0000045,10000055,2025FA,Scholarship,1866,2025-08-20
AWD0000046,10000056,2025FA,Grant,1624,2025-08-20
AWD0000047,10000057,2025FA,Grant,1189,2025-08-20
AWD0000048,10000058,2025FA,Loan,1438,2025-08-20
AWD0000049,10000059,2025FA,Grant,924,2025-08-20
AWD0000050,10000060,2025FA,Loan,2868,2025-08-20
AWD0000051,10000060,2025SP,Scholarship,1554,2025-01-10
AWD0000052,10000061,2025FA,Grant,1843,2025-08-20
AWD0000053,10000061,2025SP,Loan,2340,2025-01-10
AWD0000054,10000062,2025FA,Grant,2027,2025-08-20
AWD0000055,10000063,2025SP,Loan,1916,2025-01-10
AWD0000056,10000064,2025FA,Grant,2217,2025-08-20
AWD0000057,10000065,2025SP,Grant,538,2025-01-10
AWD0000058,10000066,2025FA,Grant,1881,2025-08-20
AWD0000059,10000067,2025FA,Scholarship,2067,2025-08-20
AWD0000060,10000067,2025SP,Grant,859,2025-01-10
AWD0000061,10000068,2025FA,Loan,597,2025-08-20
AWD0000062,10000069,2025FA,Grant,2374,2025-08-20
AWD0000063,10000071,2025FA,Loan,1910,2025-08-20
AWD0000064,10000072,2025FA,Grant,1316,2025-08-20
AWD0000065,10000072,2025SP,Loan,972,2025-01-10
AWD0000066,10000073,2025SP,Grant,1721,2025-01-10
AWD0000067,10000074,2025FA,Grant,2461,2025-08-20
AWD0000068,10000075,2025FA,Grant,2204,2025-08-20
AWD0000069,10000077,2025SP,Grant,2172,2025-01-10
AWD0000070,10000078,2025FA,Scholarship,643,2025-08-20
AWD0000071,10000079,2025FA,Scholarship,1913,2025-08-20
AWD0000072,10000081,2025FA,Scholarship,1016,2025-08-20
AWD0000073,10000082,2025FA,Scholarship,2027,2025-08-20
AWD0000074,10000082,2025SP,Grant,3209,2025-01-10
AWD0000075,10000084,2025FA,Grant,1738,2025-08-20
AWD0000076,10000085,2025FA,Scholarship,2349,2025-08-20
AWD0000077,10000085,2025SP,Loan,2649,2025-01-10
AWD0000078,10000087,2025FA,Grant,1370,2025-08-20
AWD0000079,10000087,2025SP,Scholarship,515,2025-01-10
AWD0000080,10000089,2025SP,Scholarship,1181,2025-01-10
AWD0000081,10000090,2025FA,Loan,3076,2025-08-20
AWD0000082,10000094,2025FA,Loan,2453,2025-08-20
AWD0000083,10000095,2025FA,Loan,2051,2025-08-20
AWD0000084,10000096,2025SP,Loan,785,2025-01-10
AWD0000085,10000098,2025FA,Scholarship,932,2025-08-20
AWD0000086,10000098,2025SP,Loan,2445,2025-01-10
AWD0000087,10000100,2025FA,Grant,2765,2025-08-20
AWD0000088,10000101,2025SP,Grant,3233,2025-01-10
AWD0000089,10000104,2025FA,Grant,2099,2025-08-20
AWD0000090,10000105,2025FA,Scholarship,3407,2025-08-20
AWD0000091,10000107,2025FA,Loan,769,2025-08-20
AWD0000092,10000107,2025SP,Grant,1112,2025-01-10
AWD0000093,10000108,2025FA,Scholarship,2763,2025-08-20
AWD0000094,10000109,2025FA,Scholarship,3153,2025-08-20
AWD0000095,10000110,2025FA,Loan,1527,2025-08-20
AWD0000096,10000111,2025FA,Grant,2977,2025-08-20
AWD0000097,10000113,2025FA,Scholarship,947,2025-08-20
AWD0000098,10000114,2025FA,Scholarship,1668,2025-08-20
AWD0000099,10000115,2025FA,Grant,3130,2025-08-20
AWD0000100,10000117,2025FA,Loan,1690,2025-08-20
AWD0000101,10000120,2025FA,Scholarship,1789,2025-08-20
AWD0000102,10000120,2025SP,Grant,2957,2025-01-10
AWD0000103,10000121,2025FA,Loan,3303,2025-08-20
AWD0000104,10000122,2025FA,Grant,3164,2025-08-20
AWD0000105,10000122,2025SP,Grant,1933,2025-01-10
AWD0000106,10000123,2025SP,Scholarship,1003,2025-01-10
AWD0000107,10000126,2025FA,Scholarship,3065,2025-08-20
AWD0000108,10000126,2025SP,Grant,1652,2025-01-10
AWD0000109,10000127,2025FA,Grant,2481,2025-08-20
AWD0000110,10000128,2025FA,Grant,1219,2025-08-20
AWD0000111,10000128,2025SP,Loan,2785,2025-01-10
AWD0000112,10000129,2025FA,Grant,2759,2025-08-20
AWD0000113,10000130,2025SP,Loan,2546,2025-01-10
