student_id,term_id,total_charges,total_payments,balance
10000000,2025FA,5449,4292,1157
10000000,2025SP,7544,4794,2750
10000001,2025FA,5297,377,4920
10000002,2025FA,4885,1494,3391
10000002,2025SP,3607,771,2836
10000003,2025FA,5726,229,5497
10000003,2025SP,3432,5519,-2087
10000004,2025FA,6905,5506,1399
10000004,2025SP,6608,2486,4122
10000005,2025FA,8636,5884,2752
10000006,2025FA,4517,3053,1464
10000007,2025FA,4793,3282,1511
10000008,2025FA,4493,1596,2897
10000008,2025SP,4485,2372,2113
10000009,2025FA,9399,6039,3360
10000009,2025SP,3394,3818,-424
10000010,2025FA,6082,2611,3471
10000010,2025SP,3827,4444,-617
10000011,2025FA,5842,2288,3554
10000011,2025SP,5275,2424,2851
10000012,2025FA,6300,4785,1515
10000012,2025SP,5003,2546,2457
10000013,2025FA,4697,6099,-1402
10000014,2025FA,6619,4163,2456
10000015,2025FA,8770,1472,7298
10000016,2025FA,6436,5106,1330
10000016,2025SP,4171,3391,780
10000017,2025FA,8707,1922,6785
10000017,2025SP,3754,6517,-2763
10000018,2025FA,4798,243,4555
10000019,2025FA,11233,5430,5803
10000019,2025SP,4793,3498,1295
10000020,2025FA,5560,1360,4200
10000020,2025SP,8170,5421,2749
10000021,2025FA,11221,281,10940
10000022,2025FA,5916,1009,4907
10000022,2025SP,4779,2289,2490
10000023,2025FA,4675,1566,3109
10000023,2025SP,3627,3688,-61
10000024,2025FA,4325,2748,1577
10000025,2025FA,4391,2128,2263
10000026,2025FA,8186,6293,1893
10000027,2025FA,8182,2342,5840
10000027,2025SP,8037,3717,4320
10000028,2025FA,6265,2605,3660
10000028,2025SP,3841,2090,1751
10000029,2025FA,6550,2747,3803
10000030,2025FA,8642,3913,4729
10000031,2025FA,5020,1958,3062
10000032,2025FA,8185,6233,1952
10000033,2025FA,10140,3862,6278
10000034,2025FA,8671,4552,4119
10000035,2025FA,4881,3563,1318
10000036,2025FA,5283,5422,-139
10000036,2025SP,3694,3480,214
