transaction_id,student_id,term_id,trans_dt,trans_type,amount,method
TX000000001,10000000,2025FA,2025-09-01,PAYMENT,1455,CASH
TX000000002,10000000,2025FA,2025-08-28,CHARGE,5449,BILLING
TX000000003,10000000,2025SP,2025-02-01,PAYMENT,1937,ACH
TX000000004,10000000,2025SP,2025-01-20,CHARGE,7544,BILLING
TX000000005,10000001,2025FA,2025-09-01,PAYMENT,377,CARD
TX000000006,10000001,2025FA,2025-08-28,CHARGE,5297,BILLING
TX000000007,10000002,2025FA,2025-09-01,PAYMENT,518,CARD
TX000000008,10000002,2025FA,2025-09-01,PAYMENT,976,ACH
TX000000009,10000002,2025FA,2025-08-28,CHARGE,4885,BILLING
TX000000010,10000002,2025SP,2025-02-01,PAYMENT,771,CASH
TX000000011,10000002,2025SP,2025-01-20,CHARGE,3607,BILLING
TX000000012,10000003,2025FA,2025-09-01,PAYMENT,229,ACH
TX000000013,10000003,2025FA,2025-08-28,CHARGE,5726,BILLING
TX000000014,10000003,2025SP,2025-02-01,PAYMENT,1611,ACH
TX000000015,10000003,2025SP,2025-02-01,PAYMENT,1128,CASH
TX000000016,10000003,2025SP,2025-02-01,PAYMENT,1424,CASH
TX000000017,10000003,2025SP,2025-01-20,CHARGE,3432,BILLING
TX000000018,10000004,2025FA,2025-09-01,PAYMENT,977,CASH
TX000000019,10000004,2025FA,2025-09-01,PAYMENT,1643,CASH
TX000000020,10000004,2025FA,2025-08-28,CHARGE,6905,BILLING
TX000000021,10000004,2025SP,2025-02-01,PAYMENT,1975,ACH
TX000000022,10000004,2025SP,2025-02-01,PAYMENT,511,CARD
TX000000023,10000004,2025SP,2025-01-20,CHARGE,6608,BILLING
TX000000024,10000005,2025FA,2025-09-01,PAYMENT,556,CASH
TX000000025,10000005,2025FA,2025-09-01,PAYMENT,1884,CASH
TX000000026,10000005,2025FA,2025-08-28,CHARGE,8636,BILLING
TX000000027,10000006,2025FA,2025-09-01,PAYMENT,210,ACH
TX000000028,10000006,2025FA,2025-09-01,PAYMENT,609,ACH
TX000000029,10000006,2025FA,2025-09-01,PAYMENT,1057,ACH
TX000000030,10000006,2025FA,2025-08-28,CHARGE,4517,BILLING
TX000000031,10000007,2025FA,2025-09-01,PAYMENT,1503,CARD
TX000000032,10000007,2025FA,2025-09-01,PAYMENT,703,ACH
TX000000033,10000007,2025FA,2025-09-01,PAYMENT,1076,CARD
TX000000034,10000007,2025FA,2025-08-28,CHARGE,4793,BILLING
TX000000035,10000008,2025FA,2025-09-01,PAYMENT,235,CASH
TX000000036,10000008,2025FA,2025-08-28,CHARGE,4493,BILLING
TX000000037,10000008,2025SP,2025-02-01,PAYMENT,1540,CARD
TX000000038,10000008,2025SP,2025-02-01,PAYMENT,421,ACH
TX000000039,10000008,2025SP,2025-02-01,PAYMENT,411,CASH
TX000000040,10000008,2025SP,2025-01-20,CHARGE,4485,BILLING
TX000000041,10000009,2025FA,2025-09-01,PAYMENT,1039,CARD
TX000000042,10000009,2025FA,2025-09-01,PAYMENT,1159,ACH
TX000000043,10000009,2025FA,2025-09-01,PAYMENT,1815,CARD
TX000000044,10000009,2025FA,2025-08-28,CHARGE,9399,BILLING
TX000000045,10000009,2025SP,2025-02-01,PAYMENT,478,CARD
TX000000046,10000009,2025SP,2025-02-01,PAYMENT,688,ACH
TX000000047,10000009,2025SP,2025-01-20,CHARGE,3394,BILLING
TX000000048,10000010,2025FA,2025-09-01,PAYMENT,1977,ACH
TX000000049,10000010,2025FA,2025-08-28,CHARGE,6082,BILLING
TX000000050,10000010,2025SP,2025-02-01,PAYMENT,1697,CASH
TX000000051,10000010,2025SP,2025-01-20,CHARGE,3827,BILLING
TX000000052,10000011,2025FA,2025-09-01,PAYMENT,210,CASH
TX000000053,10000011,2025FA,2025-09-01,PAYMENT,1255,CASH
TX000000054,10000011,2025FA,2025-09-01,PAYMENT,823,CARD
TX000000055,10000011,2025FA,2025-08-28,CHARGE,5842,BILLING
TX000000056,10000011,2025SP,2025-02-01,PAYMENT,879,ACH
TX000000057,10000011,2025SP,2025-02-01,PAYMENT,1545,ACH
TX000000058,10000011,2025SP,2025-01-20,CHARGE,5275,BILLING
TX000000059,10000012,2025FA,2025-09-01,PAYMENT,1970,CARD
TX000000060,10000012,2025FA,2025-09-01,PAYMENT,824,CASH
TX000000061,10000012,2025FA,2025-09-01,PAYMENT,1991,CASH
TX000000062,10000012,2025FA,2025-08-28,CHARGE,6300,BILLING
TX000000063,10000012,2025SP,2025-02-01,PAYMENT,1533,ACH
TX000000064,10000012,2025SP,2025-02-01,PAYMENT,756,ACH
TX000000065,10000012,2025SP,2025-02-01,PAYMENT,257,ACH
TX000000066,10000012,2025SP,2025-01-20,CHARGE,5003,BILLING
TX000000067,10000013,2025FA,2025-09-01,PAYMENT,1698,ACH
TX000000068,10000013,2025FA,2025-09-01,PAYMENT,1687,CASH
TX000000069,10000013,2025FA,2025-08-28,CHARGE,4697,BILLING
TX000000070,10000014,2025FA,2025-09-01,PAYMENT,1968,CASH
TX000000071,10000014,2025FA,2025-09-01,PAYMENT,478,ACH
TX000000072,10000014,2025FA,2025-08-28,CHARGE,6619,BILLING
TX000000073,10000015,2025FA,2025-09-01,PAYMENT,1472,CASH
TX000000074,10000015,2025FA,2025-08-28,CHARGE,8770,BILLING
TX000000075,10000016,2025FA,2025-09-01,PAYMENT,1690,CARD
TX000000076,10000016,2025FA,2025-09-01,PAYMENT,471,CASH
TX000000077,10000016,2025FA,2025-09-01,PAYMENT,1080,CARD
TX000000078,10000016,2025FA,2025-08-28,CHARGE,6436,BILLING
TX000000079,10000016,2025SP,2025-02-01,PAYMENT,538,CASH
TX000000080,10000016,2025SP,2025-02-01,PAYMENT,302,ACH
TX000000081,10000016,2025SP,2025-01-20,CHARGE,4171,BILLING
TX000000082,10000017,2025FA,2025-09-01,PAYMENT,266,CASH
TX000000083,10000017,2025FA,2025-09-01,PAYMENT,819,CASH
TX000000084,10000017,2025FA,2025-09-01,PAYMENT,837,CARD
TX000000085,10000017,2025FA,2025-08-28,CHARGE,8707,BILLING
TX000000086,10000017,2025SP,2025-02-01,PAYMENT,950,ACH
TX000000087,10000017,2025SP,2025-02-01,PAYMENT,1237,ACH
TX000000088,10000017,2025SP,2025-02-01,PAYMENT,1093,ACH
TX000000089,10000017,2025SP,2025-01-20,CHARGE,3754,BILLING
TX000000090,10000018,2025FA,2025-09-01,PAYMENT,243,ACH
TX000000091,10000018,2025FA,2025-08-28,CHARGE,4798,BILLING
TX000000092,10000019,2025FA,2025-09-01,PAYMENT,663,CASH
TX000000093,10000019,2025FA,2025-09-01,PAYMENT,1774,CASH
TX000000094,10000019,2025FA,2025-08-28,CHARGE,11233,BILLING
TX000000095,10000019,2025SP,2025-02-01,PAYMENT,725,ACH
TX000000096,10000019,2025SP,2025-02-01,PAYMENT,950,ACH
TX000000097,10000019,2025SP,2025-01-20,CHARGE,4793,BILLING
TX000000098,10000020,2025FA,2025-09-01,PAYMENT,1360,CARD
TX000000099,10000020,2025FA,2025-08-28,CHARGE,5560,BILLING
TX000000100,10000020,2025SP,2025-02-01,PAYMENT,1158,CASH
TX000000101,10000020,2025SP,2025-02-01,PAYMENT,948,ACH
TX000000102,10000020,2025SP,2025-01-20,CHARGE,8170,BILLING
TX000000103,10000021,2025FA,2025-09-01,PAYMENT,281,CASH
TX000000104,10000021,2025FA,2025-08-28,CHARGE,11221,BILLING
TX000000105,10000022,2025FA,2025-09-01,PAYMENT,280,CARD
TX000000106,10000022,2025FA,2025-09-01,PAYMENT,269,CARD
TX000000107,10000022,2025FA,2025-09-01,PAYMENT,460,CASH
TX000000108,10000022,2025FA,2025-08-28,CHARGE,5916,BILLING
TX000000109,10000022,2025SP,2025-02-01,PAYMENT,1696,CARD
TX000000110,10000022,2025SP,2025-01-20,CHARGE,4779,BILLING
TX000000111,10000023,2025FA,2025-09-01,PAYMENT,1566,CASH
TX000000112,10000023,2025FA,2025-08-28,CHARGE,4675,BILLING
TX000000113,10000023,2025SP,2025-02-01,PAYMENT,1437,CARD
TX000000114,10000023,2025SP,2025-02-01,PAYMENT,1336,ACH
TX000000115,10000023,2025SP,2025-01-20,CHARGE,3627,BILLING
TX000000116,10000024,2025FA,2025-09-01,PAYMENT,1211,CARD
TX000000117,10000024,2025FA,2025-09-01,PAYMENT,1537,CASH
TX000000118,10000024,2025FA,2025-08-28,CHARGE,4325,BILLING
TX000000119,10000025,2025FA,2025-09-01,PAYMENT,681,CASH
TX000000120,10000025,2025FA,2025-09-01,PAYMENT,1447,CASH
TX000000121,10000025,2025FA,2025-08-28,CHARGE,4391,BILLING
TX000000122,10000026,2025FA,2025-09-01,PAYMENT,1759,CASH
TX000000123,10000026,2025FA,2025-09-01,PAYMENT,1962,CARD
TX000000124,10000026,2025FA,2025-09-01,PAYMENT,918,CASH
TX000000125,10000026,2025FA,2025-08-28,CHARGE,8186,BILLING
TX000000126,10000027,2025FA,2025-09-01,PAYMENT,924,CARD
TX000000127,10000027,2025FA,2025-09-01,PAYMENT,496,CASH
TX000000128,10000027,2025FA,2025-09-01,PAYMENT,922,ACH
TX000000129,10000027,2025FA,2025-08-28,CHARGE,8182,BILLING
TX000000130,10000027,2025SP,2025-02-01,PAYMENT,1324,ACH
TX000000131,10000027,2025SP,2025-01-20,CHARGE,8037,BILLING
TX000000132,10000028,2025FA,2025-09-01,PAYMENT,1899,CASH
TX000000133,10000028,2025FA,2025-09-01,PAYMENT,706,ACH
TX000000134,10000028,2025FA,2025-08-28,CHARGE,6265,BILLING
TX000000135,10000028,2025SP,2025-02-01,PAYMENT,395,ACH
TX000000136,10000028,2025SP,2025-02-01,PAYMENT,1695,ACH
TX000000137,10000028,2025SP,2025-01-20,CHARGE,3841,BILLING
TX000000138,10000029,2025FA,2025-09-01,PAYMENT,1886,ACH
TX000000139,10000029,2025FA,2025-09-01,PAYMENT,861,CASH
TX000000140,10000029,2025FA,2025-08-28,CHARGE,6550,BILLING
TX000000141,10000030,2025FA,2025-09-01,PAYMENT,1757,CASH
TX000000142,10000030,2025FA,2025-09-01,PAYMENT,1692,CARD
TX000000143,10000030,2025FA,2025-09-01,PAYMENT,464,CASH
TX000000144,10000030,2025FA,2025-08-28,CHARGE,8642,BILLING
TX000000145,10000031,2025FA,2025-09-01,PAYMENT,1451,CASH
TX000000146,10000031,2025FA,2025-08-28,CHARGE,5020,BILLING
TX000000147,10000032,2025FA,2025-09-01,PAYMENT,1289,ACH
TX000000148,10000032,2025FA,2025-09-01,PAYMENT,1937,CARD
TX000000149,10000032,2025FA,2025-09-01,PAYMENT,1401,ACH
TX000000150,10000032,2025FA,2025-08-28,CHARGE,8185,BILLING
TX000000151,10000033,2025FA,2025-09-01,PAYMENT,751,ACH
TX000000152,10000033,2025FA,2025-09-01,PAYMENT,815,CARD
TX000000153,10000033,2025FA,2025-09-01,PAYMENT,524,ACH
TX000000154,10000033,2025FA,2025-08-28,CHARGE,10140,BILLING
TX000000155,10000034,2025FA,2025-09-01,PAYMENT,1347,CARD
TX000000156,10000034,2025FA,2025-09-01,PAYMENT,1903,CASH
TX000000157,10000034,2025FA,2025-09-01,PAYMENT,216,ACH
TX000000158,10000034,2025FA,2025-08-28,CHARGE,8671,BILLING
TX000000159,10000035,2025FA,2025-09-01,PAYMENT,1078,ACH
