course_section_id,lms_course_id
BIO256-2024FA-S01,LMS-2087021
BIO256-2024FA-S02,LMS-9636443
BIO256-2024FA-S03,LMS-4495547
BIO447-2024FA-S01,LMS-2048599
ENG226-2024FA-S01,LMS-4104976
ENG226-2024FA-S02,LMS-7372347
SOC495-2024FA-S01,LMS-8934730
SOC495-2024FA-S02,LMS-7074204
CS377-2024FA-S01,LMS-8428674
PSYC240-2024FA-S01,LMS-5279429
CHEM286-2024FA-S01,LMS-1545504
HIST329-2024FA-S01,LMS-6015432
ECON312-2024FA-S01,LMS-5470369
ECON312-2024FA-S02,LMS-7861682
ART372-2024FA-S01,LMS-7868856
HIST269-2024FA-S01,LMS-7226498
HIST269-2024FA-S02,LMS-0145666
STAT339-2024FA-S01,LMS-2924326
STAT339-2024FA-S02,LMS-9600215
ECON392-2024FA-S01,LMS-8928913
CS291-2024FA-S01,LMS-0635284
BIO160-2024FA-S01,LMS-0123409
PHIL188-2024FA-S01,LMS-9269600
ENG432-2024FA-S01,LMS-5146675
ENG432-2024FA-S02,LMS-0487283
SOC239-2024FA-S01,LMS-7954524
SOC239-2024FA-S02,LMS-7691033
BUS392-2024FA-S01,LMS-0936167
BUS392-2024FA-S02,LMS-5105112
SOC488-2024FA-S01,LMS-4997826
BIO477-2024FA-S01,LMS-4971741
BIO477-2024FA-S02,LMS-4946195
CS451-2024FA-S01,LMS-0198100
ART152-2024FA-S01,LMS-8412300
PHIL376-2024FA-S01,LMS-0732306
ART188-2024FA-S01,LMS-1720776
CS241-2024FA-S01,LMS-1043993
ART164-2024FA-S01,LMS-1633179
MATH265-2024FA-S01,LMS-8463201
MATH265-2024FA-S02,LMS-7153862
MATH265-2024FA-S03,LMS-4496147
CS441-2024FA-S01,LMS-8301551
CS441-2024FA-S02,LMS-3125133
PSYC474-2024FA-S01,LMS-7351988
ECON297-2024FA-S01,LMS-3348828
ECON297-2024FA-S02,LMS-3913422
ECON297-2024FA-S03,LMS-9953946
ECON398-2024FA-S01,LMS-9682284
MATH422-2024FA-S01,LMS-3024819
BIO192-2024FA-S01,LMS-8524140
PHYS419-2024FA-S01,LMS-0257764
ECON250-2024FA-S01,LMS-5808506
PHIL104-2024FA-S01,LMS-9977623
PHIL104-2024FA-S02,LMS-6989652
PHIL104-2024FA-S03,LMS-2962457
ART348-2024FA-S01,LMS-8290014
STAT297-2024FA-S01,LMS-9059251
STAT297-2024FA-S02,LMS-8254847
STAT297-2024FA-S03,LMS-2389576
CHEM181-2024FA-S01,LMS-8289148
CHEM181-2024FA-S02,LMS-2471869
CHEM181-2024FA-S03,LMS-5618527
PSYC108-2024FA-S01,LMS-5949022
PSYC108-2024FA-S02,LMS-3950685
MATH132-2024FA-S01,LMS-4312127
MATH132-2024FA-S02,LMS-9639136
MATH132-2024FA-S03,LMS-1426116
SOC312-2024FA-S01,LMS-5752420
SOC312-2024FA-S02,LMS-0161143
HIST492-2024FA-S01,LMS-6176796
HIST492-2024FA-S02,LMS-1338790
ECON145-2024FA-S01,LMS-7588638
CS228-2024FA-S01,LMS-0640896
MATH197-2024FA-S01,LMS-9071299
BUS301-2024FA-S01,LMS-7190702
CHEM360-2024FA-S01,LMS-7764413
CHEM360-2024FA-S02,LMS-9403343
PSYC116-2024FA-S01,LMS-3048255
PSYC116-2024FA-S02,LMS-7197650
PSYC116-2024FA-S03,LMS-9300567
SOC228-2024FA-S01,LMS-9654110
ENG287-2024FA-S01,LMS-3087780
CS342-2024FA-S01,LMS-5120441
CHEM404-2024FA-S01,LMS-0972903
CHEM404-2024FA-S02,LMS-4620874
CHEM404-2024FA-S03,LMS-0543578
BUS370-2024FA-S01,LMS-3881452
BUS370-2024FA-S02,LMS-2222397
SOC143-2024FA-S01,LMS-2906883
SOC143-2024FA-S02,LMS-2090825
CS320-2024FA-S01,LMS-4196332
CS498-2024FA-S01,LMS-9406961
CS498-2024FA-S02,LMS-2318112
PHYS250-2024FA-S01,LMS-4465548
PSYC120-2024FA-S01,LMS-5867611
PHIL134-2024FA-S01,LMS-6262021
SOC317-2024FA-S01,LMS-1522443
MATH442-2024FA-S01,LMS-0999354
BUS312-2024FA-S01,LMS-4202532
BUS312-2024FA-S02,LMS-5028906
ECON115-2024FA-S01,LMS-8735838
ECON115-2024FA-S02,LMS-7783708
HIST115-2024FA-S01,LMS-9204123
CHEM442-2024FA-S01,LMS-8425935
CHEM442-2024FA-S02,LMS-8403594
CHEM442-2024FA-S03,LMS-9159688
BIO144-2024FA-S01,LMS-4722046
BIO144-2024FA-S02,LMS-0305650
MATH296-2024FA-S01,LMS-2576312
MATH296-2024FA-S02,LMS-5937402
ART207-2024FA-S01,LMS-1547383
ART207-2024FA-S02,LMS-8530106
ART207-2024FA-S03,LMS-4162905
BIO113-2024FA-S01,LMS-4676243
BIO113-2024FA-S02,LMS-1898731
ECON152-2024FA-S01,LMS-9693315
HIST254-2024FA-S01,LMS-7091655
PHIL241-2024FA-S01,LMS-7354746
PHIL241-2024FA-S02,LMS-1456849
PHIL241-2024FA-S03,LMS-1381978
PSYC251-2024FA-S01,LMS-6063109
PSYC251-2024FA-S02,LMS-1969681
PSYC466-2024FA-S01,LMS-3386329
ENG175-2024FA-S01,LMS-8096043
PHYS243-2024FA-S01,LMS-3467360
PHYS243-2024FA-S02,LMS-8708894
PHYS243-2024FA-S03,LMS-1428898
BUS199-2024FA-S01,LMS-2807520
BUS199-2024FA-S02,LMS-4119666
BUS199-2024FA-S03,LMS-4304670
PSYC212-2024FA-S01,LMS-5047092
BUS119-2024FA-S01,LMS-9892714
STAT268-2024FA-S01,LMS-1288365
STAT268-2024FA-S02,LMS-2520020
ART316-2024FA-S01,LMS-9250550
ART316-2024FA-S02,LMS-5492173
ART316-2024FA-S03,LMS-9907979
PHYS137-2024FA-S01,LMS-4411319
ECON406-2024FA-S01,LMS-4773030
ECON406-2024FA-S02,LMS-4342260
MATH126-2024FA-S01,LMS-1991334
MATH126-2024FA-S02,LMS-1109553
MATH126-2024FA-S03,LMS-7559872
PHYS326-2024FA-S01,LMS-2625862
PHIL375-2024FA-S01,LMS-0552775
PHYS301-2024FA-S01,LMS-8060517
CHEM300-2024FA-S01,LMS-8116989
PHYS261-2024FA-S01,LMS-2525720
PHYS261-2024FA-S02,LMS-1778707
BUS333-2024FA-S01,LMS-8893184
BUS106-2024FA-S01,LMS-4537895
ECON255-2024FA-S01,LMS-9473897
ECON255-2024FA-S02,LMS-1332320
ECON255-2024FA-S03,LMS-6500875
CS365-2024FA-S01,LMS-2253115
CS365-2024FA-S02,LMS-0676906
STAT192-2024FA-S01,LMS-2362305
STAT192-2024FA-S02,LMS-2835910
STAT192-2024FA-S03,LMS-7041497
CHEM190-2024FA-S01,LMS-9625025
CHEM190-2024FA-S02,LMS-2733606
CHEM190-2024FA-S03,LMS-4494598
ART323-2024FA-S01,LMS-9001408
ART323-2024FA-S02,LMS-4190229
ART323-2024FA-S03,LMS-0966967
ART123-2024FA-S01,LMS-8195507
MATH387-2024FA-S01,LMS-8907778
MATH387-2024FA-S02,LMS-7803253
PHIL378-2024FA-S01,LMS-7117084
PHIL378-2024FA-S02,LMS-0061053
HIST407-2024FA-S01,LMS-0931608
SOC436-2024FA-S01,LMS-5049562
ART332-2024FA-S01,LMS-3549909
BIO493-2024FA-S01,LMS-2025678
CS438-2024FA-S01,LMS-4792471
CS438-2024FA-S02,LMS-1160253
PHYS392-2024FA-S01,LMS-5561769
STAT480-2024FA-S01,LMS-3545107
STAT480-2024FA-S02,LMS-9755830
STAT480-2024FA-S03,LMS-2485610
HIST344-2024FA-S01,LMS-5437684
MATH267-2024FA-S01,LMS-0019615
BUS252-2024FA-S01,LMS-9936723
BUS252-2024FA-S02,LMS-5767727
ART192-2024FA-S01,LMS-4615067
ART192-2024FA-S02,LMS-4979327
BIO222-2024FA-S01,LMS-8034460
ENG153-2024FA-S01,LMS-0637099
ENG153-2024FA-S02,LMS-8078916
ENG153-2024FA-S03,LMS-0639477
STAT413-2024FA-S01,LMS-7355139
CHEM379-2024FA-S01,LMS-3594867
CHEM379-2024FA-S02,LMS-1270785
ENG104-2024FA-S01,LMS-3422854
BUS433-2024FA-S01,LMS-2829169
BUS433-2024FA-S02,LMS-9955883
CHEM131-2024FA-S01,LMS-7263330
CHEM131-2024FA-S02,LMS-1188883
CHEM131-2024FA-S03,LMS-0003959
STAT426-2024FA-S01,LMS-8991006
BIO256-2025SP-S01,LMS-2128418
BIO256-2025SP-S02,LMS-1563026
BIO447-2025SP-S01,LMS-6346455
ENG226-2025SP-S01,LMS-8204039
ENG226-2025SP-S02,LMS-6244854
ENG226-2025SP-S03,LMS-2914243
SOC495-2025SP-S01,LMS-0190333
SOC495-2025SP-S02,LMS-8238204
CS377-2025SP-S01,LMS-0844441
CS377-2025SP-S02,LMS-7544082
CS377-2025SP-S03,LMS-9055109
PSYC240-2025SP-S01,LMS-3725954
PSYC240-2025SP-S02,LMS-2397156
PSYC240-2025SP-S03,LMS-5325754
CHEM286-2025SP-S01,LMS-2953644
HIST329-2025SP-S01,LMS-1874676
