student_id,course_section_id,term_id,enrollment_status,grade_letter,grade_points
10000000,BIO222-2025FA-S02,2025FA,ENROLLED,,
10000000,CS365-2025FA-S01,2025FA,ENROLLED,,
10000000,BUS119-2025FA-S01,2025FA,ENROLLED,,
10000000,STAT413-2025FA-S02,2025FA,ENROLLED,,
10000000,CHEM300-2025FA-S01,2025FA,ENROLLED,,
10000000,CHEM442-2025SP-S01,2025SP,COMPLETED,C+,2.3
10000000,PSYC120-2025SP-S01,2025SP,COMPLETED,B+,3.3
10000000,ART123-2025SP-S01,2025SP,COMPLETED,B,3.0
10000001,PSYC120-2025FA-S03,2025FA,ENROLLED,,
10000001,SOC495-2025FA-S01,2025FA,ENROLLED,,
10000001,PSYC116-2025FA-S01,2025FA,ENROLLED,,
10000001,ENG175-2025FA-S01,2025FA,ENROLLED,,
10000002,BUS312-2025FA-S01,2025FA,ENROLLED,,
10000002,BUS370-2025FA-S01,2025FA,ENROLLED,,
10000002,CS498-2025FA-S02,2025FA,ENROLLED,,
10000002,PSYC116-2025FA-S03,2025FA,ENROLLED,,
10000002,ENG432-2025SP-S01,2025SP,COMPLETED,B,3.0
10000002,MATH442-2025SP-S02,2025SP,COMPLETED,B-,2.7
10000002,SOC239-2025SP-S01,2025SP,COMPLETED,B-,2.7
10000003,ART152-2025FA-S01,2025FA,ENROLLED,,
10000003,CS498-2025FA-S01,2025FA,ENROLLED,,
10000003,ECON115-2025FA-S01,2025FA,ENROLLED,,
10000003,HIST269-2025FA-S01,2025FA,ENROLLED,,
10000003,PHIL241-2025FA-S01,2025FA,ENROLLED,,
10000003,CHEM181-2025SP-S02,2025SP,COMPLETED,A-,3.7
10000003,PSYC240-2025SP-S03,2025SP,COMPLETED,C+,2.3
10000003,PHYS326-2025SP-S01,2025SP,COMPLETED,B-,2.7
10000004,MATH442-2025FA-S03,2025FA,ENROLLED,,
10000004,MATH442-2025FA-S02,2025FA,ENROLLED,,
10000004,BUS433-2025FA-S01,2025FA,ENROLLED,,
10000004,ART332-2025FA-S01,2025FA,ENROLLED,,
10000004,STAT426-2025FA-S01,2025FA,ENROLLED,,
10000004,STAT426-2025SP-S03,2025SP,COMPLETED,B+,3.3
10000004,STAT297-2025SP-S02,2025SP,COMPLETED,C+,2.3
10000004,ART207-2025SP-S02,2025SP,COMPLETED,A,4.0
10000005,SOC312-2025FA-S01,2025FA,ENROLLED,,
10000005,ECON145-2025FA-S02,2025FA,ENROLLED,,
10000005,PSYC120-2025FA-S02,2025FA,ENROLLED,,
10000005,MATH265-2025FA-S01,2025FA,ENROLLED,,
10000006,HIST254-2025FA-S01,2025FA,ENROLLED,,
10000006,BUS106-2025FA-S01,2025FA,ENROLLED,,
10000006,BUS433-2025FA-S01,2025FA,ENROLLED,,
10000006,ENG226-2025FA-S01,2025FA,ENROLLED,,
10000007,PSYC116-2025FA-S02,2025FA,ENROLLED,,
10000007,ECON297-2025FA-S01,2025FA,ENROLLED,,
10000007,BUS119-2025FA-S02,2025FA,ENROLLED,,
10000007,PSYC240-2025FA-S03,2025FA,ENROLLED,,
10000008,PHYS392-2025FA-S01,2025FA,ENROLLED,,
10000008,ART164-2025FA-S02,2025FA,ENROLLED,,
10000008,ART188-2025FA-S01,2025FA,ENROLLED,,
10000008,PHYS419-2025FA-S01,2025FA,ENROLLED,,
10000008,BIO256-2025SP-S02,2025SP,COMPLETED,C+,2.3
10000008,PSYC240-2025SP-S02,2025SP,COMPLETED,D,1.0
10000008,ART188-2025SP-S01,2025SP,COMPLETED,C+,2.3
10000008,MATH132-2025SP-S01,2025SP,COMPLETED,A-,3.7
10000009,ART323-2025FA-S01,2025FA,ENROLLED,,
10000009,CS451-2025FA-S02,2025FA,ENROLLED,,
10000009,BUS301-2025FA-S01,2025FA,ENROLLED,,
10000009,HIST254-2025FA-S01,2025FA,ENROLLED,,
10000009,SOC312-2025SP-S01,2025SP,COMPLETED,B-,2.7
10000009,BUS370-2025SP-S01,2025SP,COMPLETED,C+,2.3
10000009,MATH267-2025SP-S01,2025SP,COMPLETED,C,2.0
10000010,ENG432-2025FA-S02,2025FA,ENROLLED,,
10000010,ART192-2025FA-S01,2025FA,ENROLLED,,
10000010,SOC143-2025FA-S02,2025FA,ENROLLED,,
10000010,HIST329-2025FA-S01,2025FA,ENROLLED,,
10000010,CHEM442-2025FA-S02,2025FA,ENROLLED,,
10000010,ART372-2025SP-S01,2025SP,COMPLETED,A-,3.7
10000010,PHIL188-2025SP-S02,2025SP,COMPLETED,C,2.0
10000010,PHYS419-2025SP-S01,2025SP,COMPLETED,A-,3.7
10000011,ART192-2025FA-S01,2025FA,ENROLLED,,
10000011,BIO447-2025FA-S01,2025FA,ENROLLED,,
10000011,ART123-2025FA-S01,2025FA,ENROLLED,,
10000011,CS498-2025FA-S01,2025FA,ENROLLED,,
10000011,PHYS261-2025FA-S01,2025FA,ENROLLED,,
10000011,ECON406-2025SP-S02,2025SP,COMPLETED,B+,3.3
10000011,ART332-2025SP-S02,2025SP,COMPLETED,C,2.0
10000011,ART316-2025SP-S01,2025SP,COMPLETED,F,0.0
10000011,ECON392-2025SP-S01,2025SP,COMPLETED,F,0.0
10000012,PHYS137-2025FA-S02,2025FA,ENROLLED,,
10000012,BUS301-2025FA-S03,2025FA,ENROLLED,,
10000012,PHIL376-2025FA-S02,2025FA,ENROLLED,,
10000012,CS377-2025FA-S01,2025FA,ENROLLED,,
10000012,PSYC251-2025FA-S01,2025FA,ENROLLED,,
10000012,PSYC240-2025SP-S01,2025SP,COMPLETED,A-,3.7
10000012,SOC143-2025SP-S01,2025SP,COMPLETED,D,1.0
10000012,MATH132-2025SP-S02,2025SP,COMPLETED,C,2.0
10000012,SOC143-2025SP-S03,2025SP,COMPLETED,B+,3.3
10000013,PSYC474-2025FA-S01,2025FA,ENROLLED,,
10000013,PHYS137-2025FA-S01,2025FA,ENROLLED,,
10000013,PSYC120-2025FA-S03,2025FA,ENROLLED,,
10000013,ECON255-2025FA-S01,2025FA,ENROLLED,,
10000014,PSYC108-2025FA-S01,2025FA,ENROLLED,,
10000014,PHYS243-2025FA-S01,2025FA,ENROLLED,,
10000014,SOC495-2025FA-S01,2025FA,ENROLLED,,
10000014,CHEM442-2025FA-S01,2025FA,ENROLLED,,
10000014,ENG104-2025FA-S01,2025FA,ENROLLED,,
10000015,ART372-2025FA-S02,2025FA,ENROLLED,,
10000015,HIST115-2025FA-S01,2025FA,ENROLLED,,
10000015,MATH422-2025FA-S02,2025FA,ENROLLED,,
10000015,PHIL134-2025FA-S01,2025FA,ENROLLED,,
10000016,ART332-2025FA-S02,2025FA,ENROLLED,,
10000016,PHIL376-2025FA-S01,2025FA,ENROLLED,,
10000016,BIO160-2025FA-S01,2025FA,ENROLLED,,
10000016,ART192-2025FA-S01,2025FA,ENROLLED,,
10000016,MATH442-2025FA-S01,2025FA,ENROLLED,,
10000016,PSYC212-2025SP-S01,2025SP,COMPLETED,A-,3.7
10000016,PSYC251-2025SP-S02,2025SP,COMPLETED,B+,3.3
10000016,BIO160-2025SP-S02,2025SP,COMPLETED,B+,3.3
10000017,BIO493-2025FA-S01,2025FA,ENROLLED,,
10000017,PSYC466-2025FA-S01,2025FA,ENROLLED,,
10000017,ECON392-2025FA-S01,2025FA,ENROLLED,,
10000017,SOC312-2025FA-S01,2025FA,ENROLLED,,
10000017,MATH296-2025SP-S01,2025SP,COMPLETED,F,0.0
10000017,BUS312-2025SP-S01,2025SP,COMPLETED,D,1.0
10000017,CHEM181-2025SP-S01,2025SP,COMPLETED,D,1.0
10000018,PSYC108-2025FA-S01,2025FA,ENROLLED,,
10000018,PSYC240-2025FA-S01,2025FA,ENROLLED,,
10000018,SOC143-2025FA-S02,2025FA,ENROLLED,,
10000018,PHYS137-2025FA-S03,2025FA,ENROLLED,,
10000019,ENG287-2025FA-S01,2025FA,ENROLLED,,
10000019,PHIL104-2025FA-S01,2025FA,ENROLLED,,
10000019,PSYC240-2025FA-S03,2025FA,ENROLLED,,
10000019,PSYC212-2025FA-S02,2025FA,ENROLLED,,
10000019,ENG226-2025FA-S01,2025FA,ENROLLED,,
10000019,PHYS326-2025SP-S01,2025SP,COMPLETED,C,2.0
10000019,ENG104-2025SP-S01,2025SP,COMPLETED,B-,2.7
10000019,SOC488-2025SP-S01,2025SP,COMPLETED,D,1.0
10000019,STAT192-2025SP-S01,2025SP,COMPLETED,B,3.0
10000020,ENG153-2025FA-S01,2025FA,ENROLLED,,
10000020,PHYS392-2025FA-S01,2025FA,ENROLLED,,
10000020,SOC143-2025FA-S03,2025FA,ENROLLED,,
10000020,SOC488-2025FA-S01,2025FA,ENROLLED,,
10000020,ENG432-2025SP-S02,2025SP,COMPLETED,C+,2.3
10000020,PHIL376-2025SP-S01,2025SP,COMPLETED,C+,2.3
10000020,PHIL378-2025SP-S01,2025SP,COMPLETED,B-,2.7
10000020,PHIL134-2025SP-S01,2025SP,COMPLETED,C+,2.3
10000021,PSYC212-2025FA-S01,2025FA,ENROLLED,,
10000021,BUS106-2025FA-S02,2025FA,ENROLLED,,
10000021,MATH422-2025FA-S02,2025FA,ENROLLED,,
10000021,BIO493-2025FA-S01,2025FA,ENROLLED,,
10000021,PHYS301-2025FA-S02,2025FA,ENROLLED,,
10000022,ENG104-2025FA-S02,2025FA,ENROLLED,,
10000022,SOC143-2025FA-S01,2025FA,ENROLLED,,
10000022,HIST254-2025FA-S01,2025FA,ENROLLED,,
10000022,CHEM286-2025FA-S03,2025FA,ENROLLED,,
10000022,ENG175-2025FA-S01,2025FA,ENROLLED,,
10000022,PHYS137-2025SP-S02,2025SP,COMPLETED,F,0.0
10000022,CS291-2025SP-S02,2025SP,COMPLETED,C+,2.3
10000022,CHEM300-2025SP-S01,2025SP,COMPLETED,B+,3.3
10000022,STAT426-2025SP-S01,2025SP,COMPLETED,A-,3.7
10000023,ENG104-2025FA-S03,2025FA,ENROLLED,,
10000023,SOC239-2025FA-S01,2025FA,ENROLLED,,
10000023,BUS333-2025FA-S01,2025FA,ENROLLED,,
10000023,CHEM379-2025FA-S01,2025FA,ENROLLED,,
10000023,MATH126-2025SP-S01,2025SP,COMPLETED,C,2.0
10000023,STAT426-2025SP-S01,2025SP,COMPLETED,A-,3.7
10000023,SOC228-2025SP-S01,2025SP,COMPLETED,C,2.0
10000024,ECON115-2025FA-S01,2025FA,ENROLLED,,
10000024,PHYS261-2025FA-S01,2025FA,ENROLLED,,
10000024,MATH387-2025FA-S01,2025FA,ENROLLED,,
10000024,ECON398-2025FA-S01,2025FA,ENROLLED,,
10000025,STAT413-2025FA-S01,2025FA,ENROLLED,,
10000025,ART372-2025FA-S02,2025FA,ENROLLED,,
10000025,BUS312-2025FA-S01,2025FA,ENROLLED,,
10000025,CS498-2025FA-S02,2025FA,ENROLLED,,
10000026,PSYC120-2025FA-S02,2025FA,ENROLLED,,
10000026,SOC239-2025FA-S02,2025FA,ENROLLED,,
10000026,BUS106-2025FA-S01,2025FA,ENROLLED,,
10000026,BIO144-2025FA-S01,2025FA,ENROLLED,,
10000027,PSYC466-2025FA-S01,2025FA,ENROLLED,,
10000027,PHYS301-2025FA-S01,2025FA,ENROLLED,,
10000027,SOC312-2025FA-S03,2025FA,ENROLLED,,
10000027,PSYC240-2025FA-S03,2025FA,ENROLLED,,
10000027,HIST344-2025SP-S01,2025SP,COMPLETED,C,2.0
10000027,SOC495-2025SP-S01,2025SP,COMPLETED,D,1.0
10000027,SOC143-2025SP-S01,2025SP,COMPLETED,B-,2.7
10000028,CHEM131-2025FA-S01,2025FA,ENROLLED,,
10000028,ART207-2025FA-S01,2025FA,ENROLLED,,
10000028,SOC312-2025FA-S02,2025FA,ENROLLED,,
10000028,CS241-2025FA-S01,2025FA,ENROLLED,,
10000028,CS441-2025FA-S01,2025FA,ENROLLED,,
10000028,ART323-2025SP-S01,2025SP,COMPLETED,B,3.0
10000028,ENG226-2025SP-S02,2025SP,COMPLETED,A-,3.7
10000028,PSYC212-2025SP-S01,2025SP,COMPLETED,C+,2.3
10000029,PSYC116-2025FA-S03,2025FA,ENROLLED,,
10000029,CHEM131-2025FA-S01,2025FA,ENROLLED,,
10000029,CHEM442-2025FA-S01,2025FA,ENROLLED,,
10000029,BUS301-2025FA-S01,2025FA,ENROLLED,,
10000029,ART372-2025FA-S02,2025FA,ENROLLED,,
10000030,SOC143-2025FA-S01,2025FA,ENROLLED,,
10000030,PHIL104-2025FA-S01,2025FA,ENROLLED,,
10000030,PHYS419-2025FA-S01,2025FA,ENROLLED,,
10000030,ART372-2025FA-S02,2025FA,ENROLLED,,
10000031,BIO222-2025FA-S02,2025FA,ENROLLED,,
10000031,SOC143-2025FA-S03,2025FA,ENROLLED,,
10000031,CHEM286-2025FA-S03,2025FA,ENROLLED,,
10000031,ECON145-2025FA-S02,2025FA,ENROLLED,,
10000032,PSYC120-2025FA-S01,2025FA,ENROLLED,,
10000032,CHEM286-2025FA-S03,2025FA,ENROLLED,,
10000032,SOC239-2025FA-S01,2025FA,ENROLLED,,
10000032,BUS333-2025FA-S01,2025FA,ENROLLED,,
10000033,SOC143-2025FA-S01,2025FA,ENROLLED,,
