appointment_id,student_id,advisor_id,appointment_dt,outcome
APT0000001,10000001,ADV019,2025-10-17,Completed
APT0000002,10000001,ADV016,2025-02-19,Action Plan
APT0000003,10000001,ADV016,2025-09-09,Action Plan
APT0000004,10000004,ADV020,2025-09-20,Rescheduled
APT0000005,10000004,ADV013,2025-10-25,Rescheduled
APT0000006,10000006,ADV022,2025-03-09,No Show
APT0000007,10000007,ADV020,2025-10-17,No Show
APT0000008,10000008,ADV033,2025-03-07,Completed
APT0000009,10000008,ADV038,2025-10-22,No Show
APT0000010,10000008,ADV042,2025-10-19,Rescheduled
APT0000011,10000009,ADV006,2025-09-21,Completed
APT0000012,10000010,ADV017,2025-09-11,No Show
APT0000013,10000011,ADV013,2025-10-26,Completed
APT0000014,10000012,ADV035,2025-03-05,Action Plan
APT0000015,10000013,ADV021,2025-02-15,Rescheduled
APT0000016,10000015,ADV035,2025-10-15,Action Plan
APT0000017,10000016,ADV039,2025-02-03,Rescheduled
APT0000018,10000016,ADV003,2025-09-10,No Show
APT0000019,10000017,ADV036,2025-09-10,Rescheduled
APT0000020,10000017,ADV041,2025-09-25,No Show
APT0000021,10000017,ADV018,2025-03-22,Rescheduled
APT0000022,10000018,ADV021,2025-10-15,Completed
APT0000023,10000018,ADV020,2025-10-25,No Show
APT0000024,10000019,ADV039,2025-02-14,Action Plan
APT0000025,10000019,ADV008,2025-10-27,Rescheduled
APT0000026,10000020,ADV050,2025-03-03,Rescheduled
APT0000027,10000020,ADV022,2025-10-01,Action Plan
APT0000028,10000021,ADV027,2025-03-21,Completed
APT0000029,10000021,ADV018,2025-09-13,Action Plan
APT0000030,10000022,ADV045,2025-09-28,Completed
APT0000031,10000022,ADV038,2025-10-20,No Show
APT0000032,10000025,ADV033,2025-03-15,Rescheduled
APT0000033,10000027,ADV042,2025-09-13,Rescheduled
APT0000034,10000027,ADV040,2025-09-19,Action Plan
APT0000035,10000028,ADV016,2025-02-08,No Show
APT0000036,10000028,ADV034,2025-03-20,No Show
APT0000037,10000030,ADV042,2025-02-10,Action Plan
APT0000038,10000030,ADV009,2025-10-28,Rescheduled
APT0000039,10000031,ADV034,2025-10-05,Action Plan
APT0000040,10000032,ADV027,2025-02-05,Completed
APT0000041,10000032,ADV010,2025-03-13,Rescheduled
APT0000042,10000034,ADV039,2025-10-24,Rescheduled
APT0000043,10000034,ADV046,2025-09-27,Action Plan
APT0000044,10000034,ADV031,2025-09-13,Completed
APT0000045,10000035,ADV014,2025-02-11,Rescheduled
APT0000046,10000037,ADV026,2025-03-01,Action Plan
APT0000047,10000037,ADV025,2025-02-22,Rescheduled
APT0000048,10000038,ADV001,2025-10-06,Rescheduled
APT0000049,10000038,ADV038,2025-02-06,Action Plan
APT0000050,10000038,ADV042,2025-02-23,Completed
APT0000051,10000044,ADV010,2025-10-13,Completed
APT0000052,10000044,ADV029,2025-10-16,Action Plan
APT0000053,10000044,ADV019,2025-10-12,No Show
APT0000054,10000045,ADV005,2025-09-23,Completed
APT0000055,10000045,ADV025,2025-09-11,No Show
APT0000056,10000046,ADV024,2025-09-24,Action Plan
APT0000057,10000046,ADV040,2025-09-01,Action Plan
APT0000058,10000046,ADV010,2025-10-16,Rescheduled
APT0000059,10000047,ADV008,2025-09-08,Completed
APT0000060,10000048,ADV026,2025-02-12,No Show
APT0000061,10000049,ADV008,2025-02-04,Rescheduled
APT0000062,10000049,ADV023,2025-10-10,Action Plan
APT0000063,10000049,ADV021,2025-10-19,Completed
APT0000064,10000051,ADV008,2025-03-09,Completed
APT0000065,10000052,ADV017,2025-10-27,Action Plan
APT0000066,10000052,ADV006,2025-03-18,Rescheduled
APT0000067,10000052,ADV036,2025-10-28,Rescheduled
APT0000068,10000053,ADV023,2025-03-18,No Show
APT0000069,10000053,ADV009,2025-09-01,Rescheduled
APT0000070,10000053,ADV028,2025-09-07,No Show
APT0000071,10000054,ADV025,2025-10-11,Rescheduled
APT0000072,10000054,ADV011,2025-02-09,Completed
APT0000073,10000054,ADV001,2025-02-25,Action Plan
APT0000074,10000055,ADV028,2025-09-15,Completed
APT0000075,10000056,ADV033,2025-03-12,Completed
APT0000076,10000056,ADV016,2025-02-01,Action Plan
APT0000077,10000058,ADV006,2025-02-01,Completed
APT0000078,10000058,ADV047,2025-02-03,Rescheduled
APT0000079,10000061,ADV034,2025-02-10,Completed
APT0000080,10000061,ADV011,2025-02-15,Action Plan
APT0000081,10000061,ADV001,2025-02-06,Action Plan
APT0000082,10000062,ADV045,2025-02-11,Rescheduled
APT0000083,10000063,ADV002,2025-02-08,No Show
APT0000084,10000063,ADV050,2025-10-03,Completed
APT0000085,10000064,ADV025,2025-09-09,Action Plan
APT0000086,10000066,ADV029,2025-10-03,Rescheduled
APT0000087,10000068,ADV003,2025-03-24,Action Plan
APT0000088,10000068,ADV026,2025-10-19,Action Plan
APT0000089,10000068,ADV013,2025-03-04,Rescheduled
APT0000090,10000069,ADV028,2025-09-21,Rescheduled
APT0000091,10000069,ADV027,2025-03-19,Rescheduled
APT0000092,10000070,ADV031,2025-10-07,Action Plan
APT0000093,10000070,ADV037,2025-03-15,No Show
APT0000094,10000070,ADV041,2025-09-24,Rescheduled
APT0000095,10000071,ADV010,2025-03-12,Rescheduled
APT0000096,10000071,ADV009,2025-09-14,No Show
APT0000097,10000073,ADV018,2025-10-09,Completed
APT0000098,10000076,ADV041,2025-10-04,Rescheduled
APT0000099,10000077,ADV005,2025-02-04,Action Plan
APT0000100,10000079,ADV004,2025-03-09,Completed
APT0000101,10000083,ADV032,2025-03-05,No Show
APT0000102,10000083,ADV041,2025-09-28,No Show
APT0000103,10000083,ADV028,2025-02-06,Rescheduled
