note_id,student_id,advisor_id,note_dt,category,risk_flag
NOTE0000001,10000001,ADV016,2025-09-09,Wellness,0
NOTE0000002,10000004,ADV020,2025-09-20,Academic,0
NOTE0000003,10000008,ADV033,2025-03-07,Academic,0
NOTE0000004,10000008,ADV038,2025-10-22,Wellness,1
NOTE0000005,10000008,ADV042,2025-10-19,Academic,0
NOTE0000006,10000009,ADV006,2025-09-21,Academic,1
NOTE0000007,10000010,ADV017,2025-09-11,Wellness,0
NOTE0000008,10000011,ADV013,2025-10-26,Career,1
NOTE0000009,10000015,ADV035,2025-10-15,Career,0
NOTE0000010,10000016,ADV039,2025-02-03,Academic,1
NOTE0000011,10000016,ADV003,2025-09-10,Academic,0
NOTE0000012,10000018,ADV021,2025-10-15,Financial,0
NOTE0000013,10000019,ADV039,2025-02-14,Academic,0
NOTE0000014,10000019,ADV008,2025-10-27,Academic,0
NOTE0000015,10000020,ADV050,2025-03-03,Wellness,0
NOTE0000016,10000020,ADV022,2025-10-01,Financial,0
NOTE0000017,10000027,ADV042,2025-09-13,Career,0
NOTE0000018,10000028,ADV016,2025-02-08,Financial,0
NOTE0000019,10000032,ADV027,2025-02-05,Financial,0
NOTE0000020,10000032,ADV010,2025-03-13,Financial,1
NOTE0000021,10000034,ADV039,2025-10-24,Wellness,0
NOTE0000022,10000038,ADV042,2025-02-23,Career,0
NOTE0000023,10000044,ADV010,2025-10-13,Career,0
NOTE0000024,10000044,ADV029,2025-10-16,Academic,0
NOTE0000025,10000045,ADV005,2025-09-23,Academic,0
NOTE0000026,10000045,ADV025,2025-09-11,Financial,0
NOTE0000027,10000046,ADV024,2025-09-24,Academic,0
NOTE0000028,10000046,ADV040,2025-09-01,Wellness,0
NOTE0000029,10000048,ADV026,2025-02-12,Academic,0
NOTE0000030,10000049,ADV021,2025-10-19,Academic,0
NOTE0000031,10000052,ADV017,2025-10-27,Financial,0
NOTE0000032,10000052,ADV006,2025-03-18,Wellness,1
NOTE0000033,10000052,ADV036,2025-10-28,Career,0
NOTE0000034,10000053,ADV028,2025-09-07,Wellness,0
NOTE0000035,10000054,ADV001,2025-02-25,Financial,1
NOTE0000036,10000056,ADV033,2025-03-12,Financial,0
NOTE0000037,10000063,ADV050,2025-10-03,Career,1
NOTE0000038,10000064,ADV025,2025-09-09,Career,1
NOTE0000039,10000069,ADV028,2025-09-21,Academic,0
NOTE0000040,10000069,ADV027,2025-03-19,Wellness,1
NOTE0000041,10000070,ADV031,2025-10-07,Financial,0
NOTE0000042,10000070,ADV041,2025-09-24,Wellness,0
NOTE0000043,10000073,ADV018,2025-10-09,Career,0
NOTE0000044,10000077,ADV005,2025-02-04,Financial,0
NOTE0000045,10000083,ADV032,2025-03-05,Career,1
NOTE0000046,10000083,ADV028,2025-02-06,Financial,0
NOTE0000047,10000086,ADV013,2025-10-10,Financial,0
NOTE0000048,10000090,ADV028,2025-09-18,Academic,0
NOTE0000049,10000094,ADV007,2025-10-14,Academic,1
NOTE0000050,10000094,ADV028,2025-09-09,Financial,0
NOTE0000051,10000096,ADV023,2025-10-05,Career,1
NOTE0000052,10000099,ADV005,2025-09-16,Academic,0
NOTE0000053,10000101,ADV031,2025-03-11,Financial,1
NOTE0000054,10000103,ADV025,2025-02-28,Career,1
NOTE0000055,10000105,ADV043,2025-09-20,Career,0
NOTE0000056,10000105,ADV044,2025-09-04,Wellness,0
NOTE0000057,10000106,ADV046,2025-09-04,Academic,0
NOTE0000058,10000112,ADV003,2025-09-12,Financial,0
NOTE0000059,10000116,ADV013,2025-09-28,Career,1
NOTE0000060,10000116,ADV042,2025-02-24,Academic,0
NOTE0000061,10000117,ADV048,2025-03-15,Career,0
NOTE0000062,10000117,ADV001,2025-10-06,Career,1
NOTE0000063,10000118,ADV011,2025-10-02,Academic,0
NOTE0000064,10000122,ADV008,2025-02-26,Wellness,0
NOTE0000065,10000125,ADV010,2025-09-02,Career,1
NOTE0000066,10000136,ADV024,2025-02-11,Career,0
NOTE0000067,10000138,ADV033,2025-09-22,Wellness,0
NOTE0000068,10000142,ADV016,2025-03-21,Career,0
NOTE0000069,10000145,ADV020,2025-03-03,Career,0
NOTE0000070,10000146,ADV045,2025-03-11,Wellness,0
NOTE0000071,10000147,ADV030,2025-03-09,Financial,0
NOTE0000072,10000147,ADV006,2025-09-02,Career,0
NOTE0000073,10000158,ADV044,2025-09-12,Academic,0
NOTE0000074,10000159,ADV004,2025-02-09,Career,0
NOTE0000075,10000159,ADV012,2025-02-03,Career,0
NOTE0000076,10000160,ADV029,2025-10-06,Academic,0
NOTE0000077,10000166,ADV032,2025-02-12,Wellness,0
NOTE0000078,10000168,ADV003,2025-02-08,Financial,1
NOTE0000079,10000171,ADV050,2025-03-20,Wellness,0
NOTE0000080,10000172,ADV011,2025-03-27,Wellness,0
NOTE0000081,10000173,ADV050,2025-10-10,Career,0
NOTE0000082,10000173,ADV043,2025-03-18,Career,0
NOTE0000083,10000173,ADV010,2025-10-12,Financial,1
NOTE0000084,10000176,ADV023,2025-02-04,Academic,0
NOTE0000085,10000179,ADV050,2025-09-12,Career,0
NOTE0000086,10000180,ADV021,2025-10-21,Academic,0
NOTE0000087,10000180,ADV015,2025-03-02,Financial,0
